Time (Sec.),Cold (Volts),Hot (Volts),Total (Volts),T1 (Deg C),T2 (Deg C),T4 (Deg C),T5 (Deg C)
46,2.77,2.98,2.8,18.55,46.87,40.89,33.09
48,2.78,2.97,2.85,18.36,47.06,41.43,32.73
50,2.78,3.02,2.82,18.55,46.87,39.8,33.64
52,2.83,2.91,2.79,18.55,46.87,39.8,33.09
54,2.8,3.01,2.97,18.36,47.06,41.07,33.27
56,2.8,3.02,2.85,18.36,46.87,40.53,33.82
58,2.8,3.05,2.81,18.73,46.87,41.07,33.27
60,2.81,3.06,2.89,18.17,47.06,40.53,33.45
62,2.8,3.02,2.79,18.55,46.87,40.53,34.18
64,2.79,3.03,2.82,17.8,47.24,40.89,32.55
66,2.78,3.05,2.86,17.99,47.06,41.98,33.09
68,2.78,2.96,2.74,18.55,46.87,39.8,34
70,2.78,2.95,2.82,17.8,47.24,39.44,32.73
72,2.78,2.98,2.85,17.99,47.24,41.61,32.73
74,2.75,2.93,2.67,17.99,47.24,39.98,33.27
76,2.75,2.98,2.72,17.8,47.24,41.43,33.27
78,2.77,2.97,2.76,17.8,47.24,39.98,32.55
80,2.76,2.99,2.79,18.17,47.06,41.61,33.45
82,2.78,3.01,2.96,17.8,47.24,40.71,33.09
84,2.81,2.81,2.77,18.73,46.69,41.98,33.09
86,2.8,3.01,2.86,18.36,46.87,41.07,33.45
88,2.77,2.96,2.72,17.99,47.06,40.35,33.45
90,2.64,2.9,2.94,18.73,46.69,40.35,33.27
92,2.72,2.97,2.73,18.55,46.87,40.71,32.91
94,2.79,2.99,2.9,18.55,46.87,40.16,33.82
96,2.75,2.75,2.66,18.36,46.69,40.16,33.64
98,2.79,2.95,2.79,17.8,47.06,41.43,32.73
100,2.82,2.88,2.73,18.36,46.87,41.8,32.91
102,2.74,3.01,2.83,18.36,46.69,39.98,33.45
104,2.73,3.01,2.89,17.8,47.24,40.71,33.64
106,2.79,3,2.8,18.17,46.87,40.16,33.09
108,2.78,3.01,3,17.8,47.06,40.71,32.91
110,2.8,2.96,2.89,17.8,47.06,40.71,33.45
112,2.81,2.99,2.92,18.36,46.87,40.71,34
114,2.84,2.98,2.85,17.8,47.06,41.07,32.37
116,2.81,3.05,2.78,17.8,47.24,41.07,33.09
118,2.86,3.06,2.92,18.17,47.06,40.53,33.27
120,2.84,3.08,2.97,17.8,47.06,40.89,32.91
122,2.82,3.05,2.77,17.62,47.24,39.98,32.37
124,2.83,3.06,2.82,17.99,46.87,39.98,33.45
126,2.8,2.94,2.71,17.8,47.06,40.71,33.27
128,2.8,2.99,2.81,18.55,46.69,40.16,32.73
130,2.77,3,2.85,18.36,46.87,39.26,33.09
132,2.81,2.93,2.53,18.17,47.06,39.62,33.27
134,2.77,2.96,2.88,18.55,46.69,41.8,33.27
136,2.8,2.81,2.82,18.73,46.69,40.71,32.73
138,2.78,2.98,2.75,18.36,46.87,40.71,34
140,2.74,2.95,2.81,18.36,46.69,39.62,33.64
142,2.78,3.01,2.6,18.55,46.69,40.71,32.73
144,2.8,2.9,2.82,18.36,46.87,40.53,33.27
146,2.78,2.95,2.9,18.55,46.69,40.35,34
148,2.76,3.01,2.7,17.8,47.06,41.07,32.55
150,2.76,2.95,2.93,18.17,46.87,40.53,32.73
152,2.75,2.99,2.77,18.36,47.06,41.25,33.27
154,2.7,2.87,2.83,17.62,47.24,41.25,32.91
156,2.77,2.95,2.8,18.17,47.06,40.35,32.73
158,2.75,2.93,2.84,17.8,47.06,40.53,33.27
160,2.77,2.95,2.78,17.8,47.24,39.8,33.27
162,2.78,2.97,2.9,17.99,46.87,39.44,32.73
164,2.83,3.05,2.9,17.8,47.06,40.35,33.09
166,2.82,3.02,2.84,17.8,47.24,40.89,33.64
168,2.78,2.95,2.87,18.17,46.87,40.35,32.55
170,2.79,3.08,2.7,17.99,47.06,40.35,33.27
172,2.77,3.04,2.85,18.55,46.69,40.53,33.64
174,2.81,3,2.83,18.36,46.69,41.07,32.55
176,2.75,2.94,2.86,17.99,46.87,39.98,32.37
178,2.8,2.98,2.85,18.36,46.69,39.44,33.82
180,2.78,3,2.9,18.73,46.69,39.98,33.27
182,2.78,3,2.94,18.17,46.87,40.16,33.45
